,电影名,上映时间,制作者,剧情类型,评分,评价人数
83,心灵捕手,1997,美国,剧情,8.9,683607人评价
84,美国往事,1984,美国意大利,犯罪剧情,9.2,398232人评价
85,低俗小说,1994,美国,剧情喜剧犯罪,8.9,803616人评价
86,功夫,2004,中国大陆中国香港,动作喜剧犯罪奇幻,8.8,1070546人评价
87,摩登时代,1936,美国,剧情喜剧爱情,9.3,289030人评价
88,春光乍泄,1997,中国香港日本韩国,剧情爱情同性,9.0,607514人评价
89,哈利·波特与阿兹卡班的囚徒,2004,英国美国,奇幻冒险,8.9,691340人评价
90,喜剧之王,1999,中国香港,喜剧剧情爱情,8.8,934501人评价
91,超脱,2011,美国,剧情,9.0,563336人评价
92,七宗罪,1995,美国,剧情犯罪悬疑惊悚,8.8,915926人评价
93,致命ID,2003,美国,剧情悬疑惊悚,8.9,791391人评价
94,杀人回忆,2003,韩国,剧情动作犯罪悬疑惊悚,8.9,683511人评价
95,红辣椒,2006,日本,动画悬疑科幻惊悚,9.1,441046人评价
96,加勒比海盗,2003,美国,动作冒险奇幻,8.8,829135人评价
97,狩猎,2012,丹麦瑞典,剧情,9.1,374434人评价
98,被嫌弃的松子的一生,2006,日本,剧情歌舞,8.9,683581人评价
99,哈利·波特与密室,2002,英国美国,奇幻冒险,8.8,718401人评价
100,7号房的礼物,2013,韩国,剧情喜剧家庭,8.9,538441人评价
101,请以你的名字呼唤我,2017,意大利法国巴西美国,剧情爱情同性,8.9,694481人评价
102,一一,2000,中国台湾日本,剧情爱情家庭,9.1,372370人评价
103,唐伯虎点秋香,1993,中国香港,喜剧爱情古装,8.7,1037727人评价
104,断背山,2005,美国加拿大,剧情爱情同性家庭,8.8,687583人评价
105,剪刀手爱德华,1990,美国,剧情奇幻爱情,8.7,1008788人评价
106,勇敢的心,1995,美国,动作传记剧情历史战争,8.9,546282人评价
107,入殓师,2008,日本,剧情,8.9,642944人评价
108,爱在黎明破晓前,1995,美国奥地利瑞士,剧情爱情,8.8,650690人评价
109,第六感,1999,美国,剧情悬疑惊悚,8.9,536786人评价
110,重庆森林,1994,中国香港,剧情爱情,8.8,780062人评价
111,蝙蝠侠：黑暗骑士崛起,2012,美国英国,剧情动作科幻犯罪惊悚,8.8,694967人评价
112,幽灵公主,1997,日本,动画奇幻冒险,8.9,505448人评价
113,菊次郎的夏天,1999,日本,剧情喜剧,8.9,573677人评价
114,超能陆战队,2014,美国,喜剧动作科幻动画冒险,8.7,976299人评价
115,天使爱美丽,2001,法国德国,剧情喜剧爱情,8.7,936736人评价
116,爱在日落黄昏时,2004,美国法国,剧情爱情,8.9,534694人评价
117,阳光灿烂的日子,1994,中国大陆中国香港,剧情爱情,8.9,595565人评价
118,小森林 夏秋篇,2014,日本,剧情,9.0,411962人评价
119,完美的世界,1993,美国,剧情犯罪,9.1,302687人评价
120,甜蜜蜜,1996,中国香港,剧情爱情,8.9,521594人评价
121,无人知晓,2004,日本,剧情,9.1,305588人评价
122,借东西的小人阿莉埃蒂,2010,日本,动画奇幻冒险,8.9,531704人评价
123,消失的爱人,2014,美国,剧情犯罪悬疑惊悚,8.7,900288人评价
124,倩女幽魂,1987,中国香港,爱情奇幻武侠古装,8.8,706583人评价
125,小森林 冬春篇,2015,日本,剧情,9.0,367691人评价
126,侧耳倾听,1995,日本,剧情爱情动画,8.9,444732人评价
127,时空恋旅人,2013,英国,喜剧爱情奇幻,8.8,635324人评价
128,幸福终点站,2004,美国,喜剧剧情爱情,8.8,548877人评价
129,寄生虫,2019,韩国,剧情,8.8,1323106人评价
130,驯龙高手,2010,美国,动画奇幻冒险,8.8,730895人评价
131,萤火之森,2011,日本,剧情爱情动画奇幻,8.9,515402人评价
132,教父3,1990,美国,剧情犯罪,9.0,358112人评价
133,一个叫欧维的男人决定去死,2015,瑞典,剧情,8.9,453542人评价
134,怪兽电力公司,2001,美国,儿童喜剧动画奇幻冒险,8.8,643815人评价
135,未麻的部屋,1997,日本,动画奇幻惊悚,9.1,314311人评价
136,玩具总动员3,2010,美国,喜剧动画奇幻冒险,8.9,494610人评价
137,哈利·波特与火焰杯,2005,英国美国,悬疑奇幻冒险,8.8,626107人评价
138,傲慢与偏见,2005,法国英国美国,剧情爱情,8.7,765638人评价
139,玛丽和马克思,2009,澳大利亚美国,剧情喜剧动画,8.9,412361人评价
140,釜山行,2016,韩国,动作惊悚灾难,8.6,1157449人评价
141,神偷奶爸,2010,美国法国,喜剧动画冒险,8.6,918523人评价
142,被解救的姜戈,2012,美国,剧情动作西部冒险,8.8,587354人评价
143,告白,2010,日本,剧情悬疑,8.8,654197人评价
144,新世界,2013,韩国,剧情犯罪,8.9,407428人评价
145,大鱼,2003,美国,剧情家庭奇幻冒险,8.8,551838人评价
146,哪吒闹海,1979,中国大陆,冒险动画奇幻,9.2,248782人评价
147,射雕英雄传之东成西就,1993,中国香港,喜剧奇幻武侠古装,8.7,611745人评价
148,阳光姐妹淘,2011,韩国,剧情喜剧,8.8,577351人评价
149,我是山姆,2001,美国,剧情家庭,9.0,326321人评价
150,头号玩家,2018,美国,动作科幻冒险,8.7,1322720人评价
151,模仿游戏,2014,英国美国,剧情传记战争同性,8.8,624113人评价
152,喜宴,1993,中国台湾美国,剧情喜剧爱情同性家庭,9.0,345169人评价
